id,filename,speech_name,noise_name,realization,SNR,technique,rep
0,F200505_WASHING3_-20,F200505,WASHING,3,-20.0,binary,True
1,F200704_VACUUM4_20,F200704,VACUUM,4,20.0,noisy,False
2,F200709_SNOW4_10,F200709,SNOW,4,10.0,wiener,False
3,F200606_WASHING4_10,F200606,WASHING,4,10.0,noisy,False
4,F200603_VACUUM4_10,F200603,VACUUM,4,10.0,binary,False
5,F200605_SNOW4_10,F200605,SNOW,4,10.0,wiener,True
6,F200707_WASHING4_10,F200707,WASHING,4,10.0,binary,False
7,F200510_VACUUM2_0,F200510,VACUUM,2,0.0,noisy,False
8,F200605_WASHING4_0,F200605,WASHING,4,0.0,wiener,False
9,F200605_WASHING0_20,F200605,WASHING,0,20.0,bayes,False
10,F200505_WASHING3_-20,F200505,WASHING,3,-20.0,binary,True
11,F200610_SNOW0_20,F200610,SNOW,0,20.0,binary,False
12,F200601_WASHING2_20,F200601,WASHING,2,20.0,noisy,False
13,F200703_SNOW0_0,F200703,SNOW,0,0.0,binary,False
14,F200703_WASHING0_0,F200703,WASHING,0,0.0,bayes,True
15,F200503_WASHING2_-10,F200503,WASHING,2,-10.0,bayes,False
16,F200504_VACUUM2_-20,F200504,VACUUM,2,-20.0,wiener,False
17,F200705_VACUUM4_-20,F200705,VACUUM,4,-20.0,binary,False
18,F200510_WASHING2_-20,F200510,WASHING,2,-20.0,noisy,False
19,F200606_WASHING2_-10,F200606,WASHING,2,-10.0,wiener,False
20,F200701_VACUUM2_-10,F200701,VACUUM,2,-10.0,binary,False
21,F200508_WASHING1_-10,F200508,WASHING,1,-10.0,binary,True
22,F200604_VACUUM1_10,F200604,VACUUM,1,10.0,noisy,False
23,F200505_SNOW3_0,F200505,SNOW,3,0.0,binary,False
24,F200705_SNOW1_20,F200705,SNOW,1,20.0,binary,False
25,F200605_WASHING1_-10,F200605,WASHING,1,-10.0,wiener,False
26,F200708_VACUUM4_0,F200708,VACUUM,4,0.0,bayes,False
27,F200707_WASHING0_20,F200707,WASHING,0,20.0,noisy,False
28,F200607_VACUUM3_20,F200607,VACUUM,3,20.0,noisy,True
29,F200710_WASHING2_10,F200710,WASHING,2,10.0,bayes,False
30,F200508_WASHING2_-10,F200508,WASHING,2,-10.0,noisy,True
31,F200609_VACUUM4_0,F200609,VACUUM,4,0.0,noisy,False
32,F200602_WASHING2_-20,F200602,WASHING,2,-20.0,wiener,True
33,F200607_VACUUM3_20,F200607,VACUUM,3,20.0,noisy,True
34,F200506_WASHING3_-10,F200506,WASHING,3,-10.0,bayes,False
35,F200610_WASHING0_-10,F200610,WASHING,0,-10.0,bayes,False
36,F200509_SNOW1_-10,F200509,SNOW,1,-10.0,binary,False
37,F200502_SNOW2_-20,F200502,SNOW,2,-20.0,noisy,True
38,F200505_SNOW3_0,F200505,SNOW,3,0.0,wiener,False
39,F200501_WASHING4_20,F200501,WASHING,4,20.0,bayes,False
40,F200610_VACUUM2_0,F200610,VACUUM,2,0.0,wiener,True
41,F200703_WASHING0_0,F200703,WASHING,0,0.0,bayes,True
42,F200503_WASHING4_-20,F200503,WASHING,4,-20.0,bayes,False
43,F200709_SNOW1_10,F200709,SNOW,1,10.0,bayes,False
44,F200702_SNOW0_20,F200702,SNOW,0,20.0,bayes,True
45,F200710_VACUUM0_20,F200710,VACUUM,0,20.0,wiener,False
46,F200707_WASHING3_-10,F200707,WASHING,3,-10.0,wiener,True
47,F200508_WASHING1_-10,F200508,WASHING,1,-10.0,binary,True
48,F200605_SNOW2_10,F200605,SNOW,2,10.0,binary,True
49,F200608_WASHING4_-20,F200608,WASHING,4,-20.0,bayes,False
50,F200705_WASHING1_0,F200705,WASHING,1,0.0,binary,False
51,F200705_WASHING2_0,F200705,WASHING,2,0.0,wiener,False
52,F200703_WASHING2_-20,F200703,WASHING,2,-20.0,bayes,True
53,F200710_WASHING2_-10,F200710,WASHING,2,-10.0,noisy,False
54,F200509_WASHING4_-20,F200509,WASHING,4,-20.0,wiener,False
55,F200610_WASHING0_20,F200610,WASHING,0,20.0,wiener,False
56,F200605_SNOW4_10,F200605,SNOW,4,10.0,wiener,True
57,F200506_VACUUM3_-10,F200506,VACUUM,3,-10.0,bayes,True
58,F200504_SNOW1_10,F200504,SNOW,1,10.0,noisy,True
59,F200505_SNOW1_20,F200505,SNOW,1,20.0,wiener,False
60,F200510_VACUUM3_-20,F200510,VACUUM,3,-20.0,binary,False
61,F200703_WASHING4_10,F200703,WASHING,4,10.0,noisy,False
62,F200508_WASHING2_-10,F200508,WASHING,2,-10.0,noisy,True
63,F200503_VACUUM2_-20,F200503,VACUUM,2,-20.0,wiener,False
64,F200702_SNOW2_0,F200702,SNOW,2,0.0,noisy,True
65,F200706_VACUUM1_-20,F200706,VACUUM,1,-20.0,noisy,False
66,F200610_VACUUM2_0,F200610,VACUUM,2,0.0,wiener,True
67,F200602_WASHING1_-20,F200602,WASHING,1,-20.0,bayes,False
68,F200608_VACUUM4_20,F200608,VACUUM,4,20.0,binary,True
69,F200702_SNOW2_0,F200702,SNOW,2,0.0,noisy,True
70,F200707_WASHING3_-10,F200707,WASHING,3,-10.0,wiener,True
71,F200609_VACUUM1_0,F200609,VACUUM,1,0.0,binary,True
72,F200601_VACUUM2_20,F200601,VACUUM,2,20.0,wiener,True
73,F200608_VACUUM4_20,F200608,VACUUM,4,20.0,binary,True
74,F200506_VACUUM0_-10,F200506,VACUUM,0,-10.0,wiener,False
75,F200609_WASHING0_0,F200609,WASHING,0,0.0,bayes,False
76,F200608_SNOW4_10,F200608,SNOW,4,10.0,binary,False
77,F200703_WASHING0_10,F200703,WASHING,0,10.0,bayes,True
78,F200609_VACUUM1_0,F200609,VACUUM,1,0.0,binary,True
79,F200601_VACUUM2_20,F200601,VACUUM,2,20.0,wiener,True
80,F200702_SNOW0_20,F200702,SNOW,0,20.0,bayes,True
81,F200602_WASHING2_-20,F200602,WASHING,2,-20.0,wiener,True
82,F200609_SNOW2_-10,F200609,SNOW,2,-10.0,noisy,False
83,F200501_SNOW4_-10,F200501,SNOW,4,-10.0,noisy,False
84,F200703_WASHING0_10,F200703,WASHING,0,10.0,bayes,True
85,F200702_WASHING4_0,F200702,WASHING,4,0.0,noisy,False
86,F200603_SNOW4_-20,F200603,SNOW,4,-20.0,binary,False
87,F200703_WASHING2_-20,F200703,WASHING,2,-20.0,bayes,True
88,F200504_SNOW1_10,F200504,SNOW,1,10.0,noisy,True
89,F200506_VACUUM3_-10,F200506,VACUUM,3,-10.0,bayes,True
90,F200608_VACUUM3_-10,F200608,VACUUM,3,-10.0,binary,False
91,F200610_WASHING0_0,F200610,WASHING,0,0.0,bayes,False
92,F200609_SNOW0_20,F200609,SNOW,0,20.0,binary,False
93,F200502_SNOW2_-20,F200502,SNOW,2,-20.0,noisy,True
94,F200502_VACUUM1_20,F200502,VACUUM,1,20.0,bayes,False
95,F200508_WASHING1_10,F200508,WASHING,1,10.0,wiener,False
96,F200609_SNOW4_-20,F200609,SNOW,4,-20.0,noisy,False
97,F200510_WASHING0_10,F200510,WASHING,0,10.0,wiener,False
98,F200605_SNOW2_10,F200605,SNOW,2,10.0,binary,True
99,F200501_VACUUM3_10,F200501,VACUUM,3,10.0,bayes,False
